ipsedID,county,avgCasePerCapita,fipsCode,school,state,flag,stateCHECK,vaxPolicySchoolnameCHECK,enforceDateCHECK,typeCHECK,mask,maskEnforceDate,allStudentsCHECK,urlVaxCHECK,urlMask
161299,Hancock County,114.565835,23009,Maine Maritime Academy,ME,0,ME,Maine Maritime Academy,2021-08-12,Public,1,,1,https://mainemaritime.edu/about-mma/press-releases/maine-maritime-academy-announces-student-vaccine-requirement-for-fall-2021/,
161554,Cumberland County,141.8195308,23005,University of Southern Maine,ME,0,ME,University of Southern Maine,2021-08-04,Public,1,,1,https://www.maine.edu/together/community-guidance/students/,
162584,Allegany County,88.89290394,24001,Frostburg State University,MD,0,MD,Frostburg State University,2021-04-23,Public,1,,1,https://www.usmd.edu/newsroom/news/2154,
163462,Frederick County,68.52456897,24021,Mount St. Mary's University,MD,0,MD,Mount St. Mary's University,2021-05-04,Private,1,,1,https://inside.msmary.edu/return-to-the-mount/covid-19-info/vaccine-policies.html,
163912,St. Mary's County,49.52364901,24037,St. Mary's College of Maryland,MD,0,MD,St. Mary's College of Maryland,2021-05-12,Public,1,,1,https://www.smcm.edu/fall-2021/,
164580,Norfolk County,161.4110209,25021,Babson College,MA,0,MA,Babson College,2021-05-19,Private,1,,1,https://www.babson.edu/emergency-preparedness/return-to-campus/vaccination/,https://www.babson.edu/emergency-preparedness/return-to-campus/vaccination/
165024,Plymouth County,191.3214261,25023,Bridgewater State University,MA,0,MA,Bridgewater State University,2021-04-26,Public,1,,1,https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021,
165820,Worcester County,199.9182722,25027,Fitchburg State University,MA,0,MA,Fitchburg State University,2021-04-26,Public,1,,1,https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021,
166629,Hampshire County,149.2289581,25015,University of Massachusetts-Amherst,MA,0,MA,University of Massachusetts at Amherst,2021-04-22,Public,1,,1,https://www.umass.edu/coronavirus/news/message-chancellor-about-additional-public-health-measures-fall-2021-semester,
167729,Essex County,224.5130074,25009,Salem State University,MA,0,MA,Salem State University,2021-04-26,Public,1,,1,https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021,
167987,Bristol County,228.8996232,25005,University of Massachusetts-Dartmouth,MA,0,MA,University of Massachusetts at Dartmouth,2021-04-30,Public,1,,1,https://www.umassd.edu/covid/vaccine/,
168263,Hampden County,246.0846515,25013,Westfield State University,MA,0,MA,Westfield State University,2021-04-26,Public,1,,1,https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021,
168847,Shiawassee County,223.8883818,26155,Baker College,MI,0,ME,Baker College,2021-05-11,Private,1,,0,https://www.baker.edu/coronavirus/,https://www.baker.edu/coronavirus/
169479,Kent County,218.3523485,26081,Davenport University,MI,0,MI,Davenport University,2021-05-24,Private,1,,0,https://www.davenport.edu/coronavirus,https://www.davenport.edu/coronavirus
169910,Mecosta County,169.0547525,26107,Ferris State University,MI,0,MI,Ferris State University,2021-04-23,Public,1,,0,https://www.ferris.edu/HTMLS/news/coronavirus/homepage.htm,https://www.ferris.edu/HTMLS/news/coronavirus/homepage.htm
170286,Hillsdale County,193.9307796,26059,Hillsdale College,MI,0,MI,Hillsdale College,2021-06-10,Private,1,,0,https://hillsdalecollegian.com/2022/01/hillsdales-covid-19-policies-differ-from-other-michigan-colleges/,https://hillsdalecollegian.com/2022/01/hillsdales-covid-19-policies-differ-from-other-michigan-colleges/
170976,Washtenaw County,176.70558,26161,University of Michigan-Ann Arbor,MI,0,MI,University of Michigan at Ann Arbor,2021-04-23,Public,1,,1,https://www.michigandaily.com/administration/u-m-to-require-vaccinations-against-covid-19-for-all-students-living-in-residence-halls-next-fall/,
171128,Houghton County,186.1130025,26061,Michigan Technological University,MI,0,MI,Michigan Technological University,2021-04-13,Public,1,,1,https://www.uppermichiganssource.com/2021/10/29/michigan-tech-employees-must-be-vaccinated-starting-next-semester/,https://www.uppermichiganssource.com/2021/10/29/michigan-tech-employees-must-be-vaccinated-starting-next-semester/
172264,Lenawee County,213.8282057,26091,Siena Heights University,MI,0,MI,Siena Heights University,2021-08-04,Private,1,,0,https://www.sienaheights.edu/who-we-are/resources/siena-safe-campus-plan/,https://www.sienaheights.edu/who-we-are/resources/siena-safe-campus-plan/
172334,Jackson County,213.8410172,26075,Spring Arbor University,MI,0,MI,Spring Arbor University,2021-05-10,Private,1,,0,https://www.arbor.edu/about/offices-and-schools/holton-health-and-wellness-services/covid-19-status/,https://www.arbor.edu/about/offices-and-schools/holton-health-and-wellness-services/covid-19-status/
173957,Olmsted County,223.5806933,27109,Mayo Clinic College of Medicine and Science,MN,0,MN,Mayo Clinic College of Medicine and Science,2021-08-26,Private,1,,1,https://college.mayo.edu/covid19/,https://college.mayo.edu/covid19/
174251,Stevens County,220.3183719,27149,University of Minnesota-Morris,MN,0,MN,University of Minnesota-Morris,2021-08-04,Public,1,,1,https://morris.umn.edu/covid-19,https://morris.umn.edu/covid-19
174783,Stearns County,271.496383,27145,Saint Cloud State University,MN,0,MN,Saint Cloud State University,2021-04-22,Public,1,,0,https://www.stcloudstate.edu/emergency/covid19/student-information/default.aspx,https://www.stcloudstate.edu/emergency/covid19/student-information/default.aspx
175616,Bolivar County,258.251601,28011,Delta State University,MS,0,MS,Delta State University,2021-04-26,Public,1,,0,https://www.deltastate.edu/covid19/updates/,https://www.deltastate.edu/covid19/updates/
176017,Lafayette County,242.3658805,28071,University of Mississippi,MS,0,MS,University of Mississippi,2021-08-31,Public,1,,0,https://coronavirus.olemiss.edu/campus-ready/vaccines/,https://coronavirus.olemiss.edu/campus-ready/vaccines/
176336,Jones County,267.5711256,28067,Southeastern Baptist College,MS,0,MS,Southeastern Baptist College,2021-08-26,Private,1,,0,https://southeasternbaptist.edu/,https://southeasternbaptist.edu/
176372,Forrest County,252.8300172,28035,University of Southern Mississippi,MS,0,MS,University of Southern Mississippi,2021-08-04,Public,1,,0,https://www.usm.edu/covid-19/index.php,https://www.usm.edu/covid-19/index.php
176406,Madison County,194.5977845,28089,Tougaloo College,MS,0,MS,Tougaloo College,2021-07-27,Private,1,,1,https://www.tougaloo.edu/administration/owens-health-and-wellness/covid-19-updates,https://www.tougaloo.edu/administration/owens-health-and-wellness/covid-19-updates
177144,Lewis County,230.5963966,29111,Culver-Stockton College,MO,0,MO,Culver-Stockton College,2021-08-24,Private ,1,,1,https://culver.edu/covid/,https://culver.edu/covid/
