ipsedID,school,county,fipsCode,state,avgCasePerCapita,vaxPolicySchoolnameCHECK
215929,University of Scranton,Lackawanna County,42069,PA,178.80678817734,University of Scranton
216038,Slippery Rock University of Pennsylvania,Butler County,42019,PA,203.821205665025,University of Pennsylvania
216597,Villanova University,Delaware County,42045,PA,167.448156403941,Villanova University
217156,Brown University,Providence County,44007,RI,298.185485221675,Brown University
217536,Salve Regina University,Newport County,44005,RI,209.491041871921,Salve Regina University
217907,Coker University,Darlington County,45031,SC,243.59900862069,Adler University
218229,Lander University,Greenwood County,45047,SC,273.624386699507,Rider University
218414,Newberry College,Newberry County,45071,SC,295.688252463054,Curry College
218539,Presbyterian College,Laurens County,45059,SC,236.678450738916,Prescott College
218654,University of South Carolina Beaufort,Beaufort County,45013,SC,192.939181034483,University of Southern California
218724,Coastal Carolina University,Horry County,45051,SC,234.479890394089,Castleton University
218733,South Carolina State University,Orangeburg County,45075,SC,232.491727832512,Louisiana State University
218742,University of South Carolina-Upstate,Spartanburg County,45083,SC,255.637800492611,University of Southern California
219000,Augustana University,Minnehaha County,46099,SD,254.482043103448,Augsburg University
219046,Black Hills State University,Lawrence County,46081,SD,215.064540640394,Nicholls State University
219082,Dakota State University,Lake County,46079,SD,148.453068965517,Sonoma State University
219198,Mount Marty University,Yankton County,46135,SD,218.645456896552,Point Park University
219277,Oglala Lakota College,Oglala Lakota County,46102,SD,227.177089901478,Folsom Lake College
219718,Bethel University,Carroll County,47017,TN,274.877098522168,Bentley University
219806,Carson-Newman University,Jefferson County,47089,TN,247.469269704434,Castleton University
219949,Cumberland University,Wilson County,47189,TN,248.030229064039,American University
220631,Lincoln Memorial University,Claiborne County,47025,TN,243.422976600985,Lincoln Christian University
220701,Martin Methodist College,Giles County,47055,TN,272.813523399015,Methodist College
220862,University of Memphis,Shelby County,47157,TN,216.531525862069,University of Miami
221731,Tennessee Wesleyan University,McMinn County,47107,TN,266.270745073892,Illinois Wesleyan University
221759,The University of Tennessee-Knoxville,Knox County,47093,TN,233.510002463054,The University of the South
221953,Tusculum University,Greene County,47059,TN,274.491694581281,Augsburg University
221999,Vanderbilt University,Davidson County,47037,TN,237.688480295567,Vanderbilt University
225885,Jarvis Christian College,Wood County,48499,TX,149.88236453202,Trinity Christian College
226471,University of Mary Hardin-Baylor,Bell County,48027,TX,158.882626847291,University of Mary Washington
227881,Sam Houston State University,Walker County,48471,TX,217.256823891626,San Jose State University
228325,Southwestern Assemblies of God University,Ellis County,48139,TX,227.386030788177,Southeastern Louisiana University
228343,Southwestern University,Williamson County,48491,TX,194.315455665025,Southwestern University
228459,Texas State University,Hays County,48209,TX,224.965245073892,Utah State University
228468,Southwestern Adventist University,Johnson County,48251,TX,211.87572044335,Washington Adventist University
228486,Southwestern Christian College,Kaufman County,48257,TX,223.833753694581,Southwestern Illinois College
228529,Tarleton State University,Erath County,48143,TX,173.644789408867,Oregon State University
228653,The University of Texas Medical Branch at Galveston,Galveston County,48167,TX,240.918756157636,University of New Mexico at Gallup
229018,The University of Texas Permian Basin,Ector County,48135,TX,193.99422044335,The University of the South
229027,The University of Texas at San Antonio,Bexar County,48029,TX,239.667322660099,University of Maine at Farmington
229780,Wayland Baptist University,Hale County,48189,TX,167.442857142857,Walla Walla University
230737,Utah Valley University,Utah County,49049,UT,273.118772167488,La Salle University
230782,Weber State University,Weber County,49057,UT,228.196445812808,Salem State University
231165,Vermont Technical College,Orange County,50017,VT,142.380921182266,Renton Technical College
231420,Averett University,Danville City,51590,VA,235.609041871921,Alfred University
232025,Emory & Henry College,Washington County,51191,VA,219.073881773399,Bryn Mawr College
232265,Hampton University,Hampton City,51650,VA,176.874426108374,Hampton University
232982,Old Dominion University,Norfolk City,51710,VA,149.749503694581,Old Dominion University
233277,Radford University,Radford City,51750,VA,228.422009852217,Radford University
233356,Bon Secours Memorial College of Nursing,Henrico County,51087,VA,168.29457635468,Ambria College of Nursing
233684,Strayer University-Virginia,Arlington County,51013,VA,152.693694581281,University of Virginia
233897,The University of Virginia's College at Wise,Wise County,51195,VA,234.916806650246,University of Maryland at College Park
233921,Virginia Polytechnic Institute and State University,Montgomery County,51121,VA,162.661321428571,Virginia Polytechnic Institute and State University
234076,University of Virginia-Main Campus,Albemarle County,51003,VA,135.867863300493,University of New Mexico-Main Campus
234827,Central Washington University,Kittitas County,53037,WA,149.982451970443,Central Washington University
236948,University of Washington-Seattle Campus,King County,53033,WA,145.802519704434,University of Washington at Seattle
237011,Western Washington University,Whatcom County,53073,WA,140.908415024631,Western Washington University
237118,Alderson Broaddus University,Barbour County,54001,WV,246.10318226601,Alvernia University
237330,Concord University,Mercer County,54055,WV,248.638199507389,Howard University
237686,West Virginia University at Parkersburg,Wood County,54107,WV,228.155017241379,Kent State University at Trumbull
237783,Salem University,Harrison County,54033,WV,253.567564039409,Salus University
