announceDate,type,State,allEmployees,someEmployees,allStudents,resStudentsOnly,boosterRequired,statePol2020,school,url
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at San Bernardino,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University at San Marcos,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University-Channel Islands,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University-Dominguez Hills,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University-East Bay,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University-Monterey Bay,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-04-22,Public,CA,1,0,1,0,1,D,California State University-Stanislaus,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
2021-07-23,Private,MA,0,0,0,1,0,D,Cambridge College in Massachusetts,https://www.cambridgecollege.edu/sites/default/files/file_uploads/cc_student_safe_return_fall_2021_faq.pdf
2021-09-27,Private,NY,1,0,1,0,0,D,Canisius College,https://www.canisius.edu/sites/default/files/%2A/announcement_sept_27_canisius.pdf
2021-09-20,Public,MA,1,0,1,0,0,D,Cape Cod Community College,https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/
2021-06-25,Public,CT,0,0,1,0,0,D,Capital Community College,https://www.ct.edu/covid19#faqs
2021-08-27,Private,OH,1,0,1,0,0,R,Capital University,https://www.capital.edu/campus-safety/campus-reopening-plans/#communications
,Private,PR,1,0,1,0,0,null,Caribbean University-Bayamon,https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/
,Private,PR,1,0,1,0,0,null,Caribbean University-Carolina,https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/
,Private,PR,1,0,1,0,0,null,Caribbean University-Ponce,https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/
,Private,PR,1,0,1,0,0,null,Caribbean University-Vega Baja,https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/
2021-08-26,Public,IL,1,0,1,0,0,D,Carl Sandburg College,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-04-28,Private,MN,1,0,1,0,1,D,Carleton College,https://www.carleton.edu/covid/updates/message-from-president-poskanzer-sharing-the-framework-for-fall-2021/
2021-05-11,Private,PA,1,0,1,0,1,D,Carnegie Mellon University,https://www.cmu.edu/coronavirus/news-and-communications/communications-archive/2021/may/vaccine-requirements-for-fall-semester.html
2021-08-20,For-profit,WA,1,0,0,0,0,D,Carrington College at Spokane,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-07-14,Private,WI,1,0,1,0,0,D,Carthage College ,https://www.carthage.edu/carthage-covid-19/vaccinations/
